2017-07-08 23:05:07,429 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/releases/org/eclipse/xtend/org.eclipse.xtend.lib.macro/2.8.3/org.eclipse.xtend.lib.macro-2.8.3.pom
2017-07-08 23:05:17,434 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.18.97.76:8081/nexus/content/groups/public/org/eclipse/xtend/org.eclipse.xtend.lib.macro/2.8.3/org.eclipse.xtend.lib.macro-2.8.3.pom
2017-07-08 23:05:27,442 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://132.122.1.152:8081/nexus/content/groups/public/org/eclipse/xtend/org.eclipse.xtend.lib.macro/2.8.3/org.eclipse.xtend.lib.macro-2.8.3.pom
2017-07-08 23:05:27,862 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer psn.william.stone:psn.william.stone.xtend.active_annotations:0.1.9-SNAPSHOT/maven-metadata.xml from http://132.122.1.152:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of jituan has elapsed or updates are forced. Original error: Could not transfer metadata psn.william.stone:psn.william.stone.xtend.active_annotations:0.1.9-SNAPSHOT/maven-metadata.xml from/to jituan (http://132.122.1.152:8081/nexus/content/groups/public/): connect timed out
2017-07-08 23:05:27,869 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer psn.william.stone:psn.william.stone.xtend.active_annotations:0.1.9-SNAPSHOT/maven-metadata.xml from http://132.122.1.152:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of jituan has elapsed or updates are forced. Original error: Could not transfer metadata psn.william.stone:psn.william.stone.xtend.active_annotations:0.1.9-SNAPSHOT/maven-metadata.xml from/to jituan (http://132.122.1.152:8081/nexus/content/groups/public/): connect timed out
2017-07-08 23:05:30,105 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/jetty-hadoop/org/eclipse/xtend/org.eclipse.xtend.core/2.8.3/org.eclipse.xtend.core-2.8.3.pom
2017-07-08 23:05:30,524 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/releases/org/eclipse/xtend/org.eclipse.xtend.core/2.8.3/org.eclipse.xtend.core-2.8.3.pom
2017-07-08 23:05:40,529 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.18.97.76:8081/nexus/content/groups/public/org/eclipse/xtend/org.eclipse.xtend.core/2.8.3/org.eclipse.xtend.core-2.8.3.pom
2017-07-08 23:05:50,537 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://132.122.1.152:8081/nexus/content/groups/public/org/eclipse/xtend/org.eclipse.xtend.core/2.8.3/org.eclipse.xtend.core-2.8.3.pom
2017-07-08 23:05:51,184 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/jetty-hadoop/org/eclipse/xtext/org.eclipse.xtext.standalone.parent/2.8.3/org.eclipse.xtext.standalone.parent-2.8.3.pom
2017-07-08 23:05:51,438 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/releases/org/eclipse/xtext/org.eclipse.xtext.standalone.parent/2.8.3/org.eclipse.xtext.standalone.parent-2.8.3.pom
2017-07-08 23:06:01,442 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.18.97.76:8081/nexus/content/groups/public/org/eclipse/xtext/org.eclipse.xtext.standalone.parent/2.8.3/org.eclipse.xtext.standalone.parent-2.8.3.pom
2017-07-08 23:06:11,450 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://132.122.1.152:8081/nexus/content/groups/public/org/eclipse/xtext/org.eclipse.xtext.standalone.parent/2.8.3/org.eclipse.xtext.standalone.parent-2.8.3.pom
2017-07-08 23:06:11,826 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.eclipse.xtext:org.eclipse.xtext.xbase/maven-metadata.xml from http://132.122.1.152:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of jituan has elapsed or updates are forced. Original error: Could not transfer metadata org.eclipse.xtext:org.eclipse.xtext.xbase/maven-metadata.xml from/to jituan (http://132.122.1.152:8081/nexus/content/groups/public/): connect timed out
2017-07-08 23:06:30,991 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/xtext/org.eclipse.xtext.xbase/maven-metadata.xml
2017-07-08 23:06:31,564 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/xtext/org.eclipse.xtext.xbase/maven-metadata.xml
2017-07-08 23:06:31,834 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/jetty-hadoop/org/eclipse/xtext/org.eclipse.xtext.xbase/2.8.3/org.eclipse.xtext.xbase-2.8.3.pom
2017-07-08 23:06:32,094 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/releases/org/eclipse/xtext/org.eclipse.xtext.xbase/2.8.3/org.eclipse.xtext.xbase-2.8.3.pom
2017-07-08 23:06:42,099 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.18.97.76:8081/nexus/content/groups/public/org/eclipse/xtext/org.eclipse.xtext.xbase/2.8.3/org.eclipse.xtext.xbase-2.8.3.pom
2017-07-08 23:06:52,107 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://132.122.1.152:8081/nexus/content/groups/public/org/eclipse/xtext/org.eclipse.xtext.xbase/2.8.3/org.eclipse.xtext.xbase-2.8.3.pom
2017-07-08 23:07:01,887 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.eclipse.xtext:org.eclipse.xtext/maven-metadata.xml from http://132.122.1.152:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of jituan has elapsed or updates are forced. Original error: Could not transfer metadata org.eclipse.xtext:org.eclipse.xtext/maven-metadata.xml from/to jituan (http://132.122.1.152:8081/nexus/content/groups/public/): connect timed out
2017-07-08 23:07:06,404 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/xtext/org.eclipse.xtext/maven-metadata.xml
2017-07-08 23:07:10,118 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/xtext/org.eclipse.xtext/maven-metadata.xml
2017-07-08 23:07:10,396 [Worker-19] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.hortonworks.com/content/repositories/jetty-hadoop/org/eclipse/xtext/org.eclipse.xtext/2.8.3/org.eclipse.xtext-2.8.3.pom
